Nombre,Av. Epigmenio Gonzalez 702,Cremerías La Granja 1973,Divina Costura,Del Pueblo 966,Portal de la Alegría 59,C. Mecánicos 4,Av. Pascual Alcocer Vega 308,Frutería El Güero,Calle Cocineras,Quintana Roo 5,Río Querétaro 758,Calle 26 de Enero,C. Diamante 303,Tortillería el sñr de la misericordia,C. Santiago de Querétaro 503,Guanajuato 62,Abarrotes La Ladera,Santiago de la Peña 201,Miscelánea San José,Raspados el dani,Carnicería los caporales,Abarrotes el Marqués,Carnicería y Chicharrones de Res,Frutería Bermudez,Cocina Economica Doña Lalita,Miselanea Rico,Chimalpopoca,San Luis Potosí 203,Avenida Nuevo León,Mini Super Lolita,HM89+9G,C. Guadalajara 120,Las las delicias,Cremeria Y Salchichoneria Chely,Frutería Juanito,Cremeria Hermanos Coronel suc. Prol. Pasteur,"Frutas Y Legumbres ""Alejandra""",Carnicería PEPE,C. 15 1236,El mercadito,Frutería San José,Carnicería Jovero,"Miselanea Lalo, cheve Corona",La Cevichería Sonorense,C. Antonio Carranza 3,Frutería la divina,Carniceria El Marron,Av. Popocatépetl 401,Av. Popocatépetl 20,16 de Septiembre,"El Mexicano ""abarrotes""",De Guadalupe 83,Blvd. Fray Antonio de Monroy E Hijar 49,Av. Popocatépetl 3208,Plaza Jurica,Frutería y Abarrotes María,Carnicería Hugo Juárez,Carniceria Juarez,P.º del Mesón 5,10 de Abril,Fruterías El Mirador Suc. Cerrito Colorado,Fruteria la divina,Del Real Tortilleria,Miscelánea Arturo,"Miscelánea ""Mi Consentida""",Miscelánea La Semilla,Av. Prol. El Jacal 1004,CENTRO DE DESARROLLO HUMANO LAS TROJES (PIRAMIDES),Alux Eventos,Fruteria hermanos vidal,La Fortaleza Frutería,Prudencia Griffel 213-int 3,Cremería Hermanos Coronel - Piramides,Súper Fruterias Bermúdez 2,Miscelánea Ramirez,Santuarios Residencial,Frutería las delicias,Super fruterias Bermudez,Salon Eventos Quinta Real,Diamante 202,Carniceria ali,Cjon. de la Cruz 1,Priv. capulín 140,"Carniceria Y Carnitas ""Moreno""",C. Cam. Real 2,Rancho San Pedro,FRUTERIA EL PARAISOR,"Carniceria ""Tito""",Carnicería Juárez,Cremeria Flor de Alfalfa,Aqua Rancho Bellavista,Super Carniceria y Pollería Hrns. Sanchez,C. San Germán 38,Tortillería La Obrera,Cremería Hermanos Coronel Tintero,Av. 5 de Febrero 7,Almacen,Camino Real de Carretas 354,Mirador de San Juan 55,Senda del Amanecer 86,PUNTO INN MILENIO III,Sendero del Mirador Milenio III Park,Mirador de San Juan 78,RINCONADA PEDREGAL,Naturalmente 🌿 Magia 🕯️ 💆🏽🪄,Papelería yoyo,Turbo Parts
Av. Epigmenio Gonzalez 702,0.0,1.561950305774845,2.124140575791427,2.2708413606957203,1.3814516741388796,1.7293490896122488,1.8718993674102202,2.198431346877752,1.8241019823280664,1.0488963813225674,0.45054322762307786,0.4927892330633565,1.2005625542895764,0.8069005364370367,1.0722855316031346,1.2024327456641393,1.189581171794581,1.5074752502118158,0.839695058823073,1.8646547758271173,2.326982295224261,12.674944071090657,13.146239881794626,10.709141514747937,9.81228358185228,10.681106918455084,10.147112770621842,11.013542670960499,10.692741384725679,13.010656124282066,10.582180595110303,10.735904927836629,8.56892357134461,10.231775734172263,9.301695540765913,10.599412458891395,9.286986905037242,9.64185249420124,9.344115607048169,9.453074556906552,10.179574697191423,9.55836645712496,10.779150830904134,8.921347772576665,9.896372735846894,8.56403104818535,8.8642323875787,6.967959514350229,7.002710614290755,7.53247712389039,7.46928948450542,7.86021009078769,8.16168048268239,7.5337249227655105,5.299007601687189,8.746797061482152,9.434741087588526,9.218261412385978,7.841304660942603,8.066416892556752,8.940404856969696,8.130677013271942,7.445532808985257,9.224152186002764,12.618146741805436,12.657684133694111,11.219621902433776,13.32666978367189,13.968551186749892,11.83018745314649,13.737656532882564,9.877356247910441,13.551111770907962,12.371236609375272,12.580141948506373,12.277124707203035,10.595365166806967,12.193268397698521,14.211739543384793,7.425117276253048,7.155619853996264,4.83598396242448,6.3924267183069485,8.36871266476001,4.986523772322791,9.895773037605364,8.408702097458825,6.26741804005989,7.508218894742407,6.115397959890342,8.331885974089495,6.713176626401212,7.4708007084062915,5.168965165792923,6.743533985798801,5.156796149646225,4.476799133950658,6.738733812273728,7.6058078640531885,7.1377559650993545,7.188063851097294,6.884461648549628,7.723962179169584,7.374214499939223,7.370904045723026,6.921874062695578,7.320744239804349
Cremerías La Granja 1973,1.561950305774845,0.0,0.5628575679034972,1.348565855197004,0.43057420081782005,1.1046386127395402,1.200367889620124,1.886091055953223,0.9690983883369003,2.122233517110725,1.5630998594662557,1.0724114004579275,0.44447918868242153,1.273139249016024,1.0519198049059482,2.5145101054318926,1.7541484333001576,0.5417278081708441,1.5827805064471907,0.6356450896053399,2.0055538097488794,13.920879927187443,14.377374842733106,11.694849694778474,10.738931035088834,11.57030486935649,11.181475102195218,12.001034310805629,11.661646199972695,14.255488211835694,11.461907831415612,11.712697582440665,8.898704259115723,10.213712154314573,9.26562942782124,10.713144377793496,9.11116432059716,9.522480830862175,9.405151907389943,9.535872296017388,10.08680038111731,9.761208524811025,10.797680921187185,9.347221407765117,9.859624588083143,8.886248742086837,9.181742868020144,5.411278022303407,5.457813650755959,6.23445906611676,5.907350475074472,6.3027411674354665,6.839355366150823,6.005852796232123,3.737064255638099,7.343888111357476,7.875763034679219,7.6709197099768724,6.464430985690006,6.514858116218257,7.398291965361606,6.599834883713054,5.886917303573601,8.697630572634983,11.818135917838346,11.838198904707347,10.56031733498388,12.603323118934057,13.216059657250353,11.143923362073524,12.975581239757535,9.398443323537805,12.802818431355462,11.587863711293476,11.904068541143843,11.499383635515889,9.86096635045515,11.397287450933458,13.523698785443921,6.093765967783794,5.838785218334169,3.802643022947045,5.4098320914637075,6.942716622747791,4.174412164689981,8.489419914452569,6.983861872935656,5.3023463119362155,6.3756766772883084,5.579862679557663,7.076555216207256,5.529060196008642,6.556866591022407,3.998436318404621,5.579450796581389,4.216263738766113,3.228241137344651,7.663215799267022,8.750704733159147,8.09721243733538,8.126347930115477,7.796540644408274,8.875306543879129,8.45504873961603,8.40990493699634,7.969172562657392,8.298442488984586
Divina Costura,2.124140575791427,0.5628575679034972,0.0,1.3771025224183324,0.8850581584068395,1.307123159278575,1.4033849698971679,2.043220000050258,1.1011660452452299,2.6433017789375537,2.1012679630381412,1.6352371301181832,0.9644647476161674,1.7670452293339673,1.5269290405968527,3.054564891879442,2.223474486000427,0.8996265296451543,2.097477684089214,0.674198499929239,2.1422913173671794,14.366474224071737,14.817360753626694,12.05633862416323,11.083481470428271,11.899659500419897,11.560615357461964,12.362339175934448,12.017576081862627,14.700323973693752,11.788399777921935,12.071142656568542,9.050448045049917,10.23378126144721,9.285177313255177,10.77778910075186,9.080862032145495,9.510027941999248,9.4586796306779,9.596313862215036,10.080533950885483,9.862837920839185,10.8277767422785,9.529146889041934,9.875042491442258,9.035458989222107,9.327268662057143,4.8554743873164234,4.910676491227252,5.820399127024756,5.345652699862834,5.74012299546345,6.410029364352492,5.469142961071414,3.1754129193769822,6.8724616957655815,7.312940444539736,7.121008642101708,6.009276069345077,5.962535770209415,6.839721677232099,6.045368494803841,5.3241466880758965,8.538814645105093,11.539511627322325,11.552074638902308,10.340182834627027,12.351407307365742,12.951419776095985,10.911066537540169,12.707965014862795,9.25309414613897,12.540891300824248,11.316345536417352,11.672283845294324,11.230317585468752,9.615253473131744,11.121595246567399,13.282508839438739,5.623948478144807,5.376617140064813,3.498498426332643,5.0988260743035525,6.429770041015053,3.961979051921477,7.981714863239582,6.471310497426889,5.00042989886977,5.990251286909409,5.4523553863819805,6.634887261036835,5.128028239103057,6.2620600814846,3.623575331125409,5.186853513344204,3.9451255357803072,2.830218446446716,8.021275887322027,9.173484999566055,8.463818947927422,8.486025051855027,8.14981102786468,9.29971073114754,8.858575921325288,8.80030520920075,8.36433088180274,8.669804587940426
Del Pueblo 966,2.2708413606957203,1.348565855197004,1.3771025224183324,0.0,1.0843636316830114,2.453086362262304,0.426334949322382,3.234555587599604,2.3066322647101165,2.18100695742327,2.5097501407560374,1.8605347991983516,1.6827120362157448,2.407195878621892,1.212342688755067,2.6603646414350877,1.607991826322638,0.9073742708908156,1.720050623806137,1.9218803824181714,3.353229486714548,14.941758043251305,15.410935535284098,12.88199059296078,11.951281129939703,12.799460012680951,12.343223867747861,13.1877501791089,12.856699299168707,15.277415370515904,12.694594101944642,12.904123229943425,10.243087565688139,11.54889842355257,10.600305380555213,12.058854425526995,10.425204710463529,10.845114337227242,10.748661826673196,10.880675917380328,11.412300412848479,11.109760492464291,12.136029117878962,10.683808256019654,11.193171457569058,10.231089893704695,10.527097746491664,5.16466728819632,5.109882340512654,5.274648790722438,5.766376027014236,6.271749834295401,5.910142958262786,5.554091308407569,3.687791228655478,6.539718299557799,7.792767950417146,7.299030454129597,5.619929678190108,6.19241770713105,7.467777563570391,6.745820757638334,5.8512296852918775,9.915912507909672,12.881473370190786,12.889316312542675,11.708609696270583,13.70703180668314,14.300355626433232,12.275190331679791,14.055431767917321,10.629808551440542,13.891503899617614,12.662641036804265,13.036419021818089,12.578042701287506,10.975340089801456,12.465663047766412,14.642363738571756,6.733508198935761,6.5076444582644575,4.845477103534351,6.4327422212965155,7.39174531194309,5.336944752153346,8.948677198444443,7.434383246829592,6.340584626408656,7.248407346711275,6.8260407408006865,7.797560321232332,6.3719741592935515,7.6022717799273964,4.915277650332199,6.4416667557712675,5.305019233273031,4.109883976563904,8.868399615118967,9.842918455057454,9.288698930577352,9.327275540474304,9.00737057605361,9.96349676670321,9.585847923114807,9.563561810445774,9.11715704626719,9.482196900159018
Portal de la Alegría 59,1.3814516741388796,0.43057420081782005,0.8850581584068395,1.0843636316830114,0.0,1.448108901832373,0.8370451633858855,2.217914761046218,1.3502194814936765,1.7608149820395516,1.505424000519126,0.8998666828725216,0.6098267414093124,1.3353601338946963,0.6445434883850812,2.1832877715220924,1.3462191190526107,0.17701535832352064,1.2142532120528695,1.0589968987209555,2.3440987779543536,13.949373928806706,14.4125219696561,11.818203486199339,10.879576355811976,11.723568708325589,11.288029375240384,12.124191779652149,11.79037025482129,14.284664358548653,11.617843835118608,11.838956609863,9.184993656671498,10.565442791510389,9.618566327188615,11.04384984044304,9.484328797357474,9.888374256233659,9.742612282557882,9.869891895301237,10.449696903991786,10.074204019611114,11.144456970306575,9.614346779532518,10.213705119180641,9.174047797923928,9.47120704474297,5.618914034146701,5.637236334389194,6.2087063533050815,6.146074818429747,6.571129509168431,6.828173152792774,6.157735159906753,3.9819643179366624,7.38308868568395,8.136694350053892,7.853177821978007,6.485564727802113,6.707089779014247,7.694413586124685,6.910632811808144,6.152242874564663,9.109681587638141,12.247379688283644,12.267899401021403,10.983268371366592,13.030130427964133,13.644097561586053,11.568584032817874,13.403901239677817,9.806979948918718,13.230634642199778,12.01660751195341,12.328463926541888,11.927938601676285,10.287438274297891,11.826356933862932,13.949140396291106,6.493327637912328,6.241766784556481,4.233169208322301,5.840383405177405,7.3143655926360855,4.599460194162846,8.865616684247058,7.355860124466477,5.732910506391646,6.800554028925329,5.987407126909526,7.487940294971013,5.950791919336126,6.987253351805138,4.423796136558378,6.002826975895989,4.646212146117422,3.648758648019336,7.797505509300208,8.814016704169035,8.222056863646156,8.257835057483547,7.935001137805117,8.936446470681956,8.540810471515009,8.509850826949123,8.06519372926816,8.418092963991718
C. Mecánicos 4,1.7293490896122488,1.1046386127395402,1.307123159278575,2.453086362262304,1.448108901832373,0.0,2.2798900168605103,0.7814703934962919,0.22861624434617553,2.663700742412359,1.433514798314837,1.4186874057444185,0.8742215369354069,0.9760943017669251,1.886269824531643,2.9193223992079567,2.5011573967838614,1.6063220081250218,2.2155922496005824,0.6367050728410596,0.9018287882371689,13.144581079256605,13.587521050015749,10.762833499721516,9.78376060717773,10.59567315871536,10.276807357387929,11.068621226901087,10.721686634162241,13.477064751548836,10.48386843261393,10.776286001299855,7.800910576026135,9.119559003412636,8.172224962859234,9.610004553182442,8.037625937561941,8.440316975059446,8.303836283570286,8.433488708688285,9.001614973126165,8.656707830177064,9.700598945448153,8.259045476674833,8.767065247624371,7.7878468821799,8.08260321770853,5.822614989951041,5.94036365018491,7.102808582446335,6.221168436853194,6.51774665876876,7.680394742844043,6.543784058450711,4.100721902340522,8.09593600748567,8.09090909936059,8.111702086196333,7.256185548506267,6.945593471874456,7.501751071985592,6.662155636515853,6.120011433623173,7.720993564843951,10.978992222566147,11.010427884770118,9.645420038267979,11.723593570009424,12.35246371713348,10.243164164782119,12.116846541510014,8.406279430891722,11.936438931697136,10.738913437122466,10.999691162318227,10.647139627849954,8.98205671266304,10.555186135849588,12.627493381909957,5.733972235354277,5.459474512370147,3.108997014285518,4.678467360462211,6.733977672456874,3.3129896546684767,8.23802351545056,6.772697082571754,4.556751745836471,5.778937942581033,4.5913698684077575,6.612997562471844,4.986340217787191,5.778047881651356,3.4443298250996306,5.015118883408979,3.446112002705573,2.7773886744630882,6.728956776717724,7.930307151509038,7.17540803466658,7.194006777677154,6.855156041837296,8.058138096446902,7.596293711833228,7.527082312571994,7.095649181066743,7.383858007466198
Av. Pascual Alcocer Vega 308,1.8718993674102202,1.200367889620124,1.4033849698971679,0.426334949322382,0.8370451633858855,2.2798900168605103,0.0,3.053642916796179,2.165759532393852,1.7604786592636616,2.142031972268006,1.4902491784134202,1.4441670637782003,2.0891106023976773,0.8020351676298476,2.2390875892742157,1.1928424647796951,0.6735686131515023,1.2937193954406863,1.8256046795993273,3.178900513416736,14.546787756124358,15.018101998104529,12.53089565026638,11.610718459700285,12.465629396447673,11.983780563788011,12.83629814449035,12.508570881839294,14.882503741479782,12.36248161704381,12.554595606412498,10.015218200790134,11.399389306150821,10.452111334476806,11.880856522337604,10.308733905514721,10.71689756215205,10.579155655274608,10.706726574592693,11.279662203476253,10.910290697458915,11.97962649573996,10.437306094117927,11.046947313066052,10.004739770050042,10.302326566693177,5.551404853563512,5.5091029730511485,5.693299948937223,6.140154417131136,6.629636132456387,6.330590994528072,5.965101210055771,4.034321491411604,6.965547403248002,8.162875095859487,7.705321176033291,6.045055285271685,6.591514867336186,7.811382605107496,7.072810614848712,6.208452008638341,9.884542455803448,12.940014753818819,12.9537508744825,11.721830239415578,13.745590051848975,14.349182127580633,12.298258046160502,14.106395837881054,10.589427669161077,13.937919074175621,12.715437584128582,13.059234166496912,12.628859669286735,11.006806252330042,12.52150197791842,14.673312443666934,6.939911129077649,6.704502106726247,4.9000728503397974,6.501878368398668,7.652570974410277,5.334924388754891,9.21072185985532,7.694956936097838,6.402689386984289,7.379833639902748,6.77305631433112,7.982276655639104,6.5114326982674315,7.66393934994175,5.021104311340744,6.574471985166329,5.340611728318717,4.222667166820269,8.528309359393136,9.466237223501606,8.942674610337546,8.984828613650153,8.669381682354617,9.585716191774617,9.219613867359321,9.204190797518352,8.756611589476812,9.133066761923088
Frutería El Güero,2.198431346877752,1.886091055953223,2.043220000050258,3.234555587599604,2.217914761046218,0.7814703934962919,3.053642916796179,0.0,0.9492887971358359,3.2209210399377524,1.7986165296284504,2.0204274458346743,1.6231049676540206,1.393184101793067,2.5988046682546564,3.393844195699701,3.1555415179014554,2.3808599915799995,2.839458160889283,1.3728152802577374,0.13375802560293187,12.619719077366884,13.051202409599021,10.12038905794611,9.124548111397333,9.919036449231813,9.657575053061827,10.425253688069205,10.072911637343225,12.949811728640874,9.804642428523294,10.130268014458627,7.024700135057935,8.348307814315723,7.401908504711826,8.830268263356153,7.285724628208015,7.680267258737839,7.525968689441223,7.654557893662872,8.238559275678535,7.875264402474796,8.926559985676723,7.490769270620092,7.99736504127808,7.011134675267909,7.3052453093049925,6.222336507203985,6.381487247138968,7.757160354011452,6.553588489743508,6.78171167142019,8.316614498005318,7.010437932126437,4.511858205369526,8.678151526057984,8.335162795553801,8.5026357934389,7.866197268135972,7.3418114721428624,7.677439447063251,6.821599699768575,6.402281467291812,7.056711026497102,10.420256014236394,10.460800183511374,9.02822543685821,11.130084040635113,11.770604345411318,9.636066342758225,11.539401155190529,7.726373647544923,11.3532426336033,10.172920321250304,10.387726001742994,10.07873650078463,8.397282902185701,9.995329585442741,12.018885146483196,5.605261479725579,5.32176530364923,2.790160953432582,4.265500323411933,6.700256207177264,2.8141041768879482,8.153317198103052,6.736579794716186,4.133736746354006,5.459811597299566,3.9336135894522664,6.387657442749714,4.728991665656655,5.303218614876853,3.2348005993447377,4.739037085770706,3.0352283751227405,2.703636798671729,6.098183007426074,7.3895530333512385,6.5530923310678855,6.562493690536763,6.217463320517764,7.519304575377932,7.025433716652273,6.936260595667987,6.515309761913492,6.766699208165011
Calle Cocineras,1.8241019823280664,0.9690983883369003,1.1011660452452299,2.3066322647101165,1.3502194814936765,0.22861624434617553,2.165759532393852,0.9492887971358359,0.0,2.706302644621703,1.571221228298076,1.4644490087400133,0.8285006229705985,1.1197045245603738,1.848033667143983,2.9929611612120364,2.4954273300223195,1.4959733687630803,2.23108718519499,0.42703669641993264,1.0575523526976938,13.373102751060584,13.815879825453507,10.984127644852308,10.002654045708095,10.811771481109448,10.500572901651301,11.28982981410171,10.942163377437033,13.705562164343968,10.69947397999919,10.997129678762787,7.9725762307023995,9.245842987439334,8.29758706640619,9.75287215039581,8.143161204354268,8.553458829578977,8.442033729626901,8.574281950818762,9.117702291845866,8.812075092610725,9.830990322896833,8.439988654752693,8.89132910061747,7.958705827025381,8.25232583438286,5.601359452685528,5.715724576423981,6.880590177138258,6.006633242244951,6.311756117806941,7.456135238534754,6.31738042647577,3.879915298320326,7.868058793290602,7.886430976709949,7.890221425063214,7.0296532224426125,6.724076780786587,7.308241898598026,6.472304911771156,5.911901812443414,7.77012801660249,10.976950580571904,11.004678486694797,9.669687692488552,11.735718466454363,12.359175588757509,10.26235183059948,12.121817585583978,8.462989311630222,11.943968673031476,10.740032899937262,11.02051918452229,10.649328297445411,8.992661326846003,10.553931560515338,12.645824942624488,5.606512998503965,5.3350727833851,3.0486537371151616,4.635805882877444,6.582005928959884,3.308510791157864,8.095275222303142,6.621185320032478,4.517971216542607,5.702884711393321,4.643750107787823,6.508215285198232,4.895337058441035,5.752148312873044,3.349430071420936,4.9292892121848215,3.4108249096451515,2.653999119326377,6.950977212953194,8.158367108417673,7.398424684033745,7.416055869251304,7.0764123313694265,8.286256985624458,7.823172052042909,7.752783235940912,7.321940564642627,7.607418318819867
Quintana Roo 5,1.0488963813225674,2.122233517110725,2.6433017789375537,2.18100695742327,1.7608149820395516,2.663700742412359,1.7604786592636616,3.2209210399377524,2.706302644621703,0.0,1.4955843261664248,1.2457679161692454,1.9292708614965384,1.8319202197166866,1.1390561963845376,0.4796493038760534,0.580272175872133,1.789003604818723,0.5467134129273448,2.62185568816346,3.3521101825373933,13.105001929714392,13.58912025077077,11.370345349978422,10.518439370195606,11.404077393700684,10.778015669883503,11.67153275974388,11.365380410343628,13.440104199100611,11.311395928160135,11.402973026118307,9.535098549501692,11.259627449572253,10.333362569385352,11.606124825471618,10.331006800695826,10.681353969870203,10.362655029993165,10.467900651881372,11.215958867251576,10.550395467247858,11.801070011046608,9.858546036367692,10.927087647120493,9.532178260999745,9.832153206770567,7.275407343175264,7.252383150398427,7.363681211601571,7.838984551917832,8.294050162185675,8.009594706685137,7.721738574179523,5.694159802508083,8.68852467607026,9.848546829310077,9.456283821072837,7.760723208039504,8.333386075856644,9.438281924177655,8.663786747159635,7.87340514158558,10.265558749959013,13.625663577925048,13.66118192767429,12.249144450819527,14.348687656178841,14.986176271901378,12.856573615291538,14.75340813720792,10.922475586859743,14.569151956624294,13.381808667667752,13.60859546738638,13.28868549259084,11.612838193608932,13.201169922557694,15.239667839069174,8.204275645120557,7.944851626198926,5.7549535067607245,7.338434372886056,9.064318277747196,5.970533680002312,10.611644045201901,9.10553920137552,7.21836833628423,8.401561023296804,7.150703846921117,9.163405532386243,7.579634871482574,8.441612395657755,6.034595581805666,7.619833487497912,6.108462482246398,5.298042149589607,7.478684209898818,8.175184164842724,7.850476110423584,7.913354869919268,7.629695310728789,8.286193989966094,7.998807228279397,8.026659982169512,7.578084424364347,8.019243746428813
Río Querétaro 758,0.45054322762307786,1.5630998594662557,2.1012679630381412,2.5097501407560374,1.505424000519126,1.433514798314837,2.142031972268006,1.7986165296284504,1.571221228298076,1.4955843261664248,0.0,0.6518896271193565,1.1368180421463625,0.4574931298274578,1.3759875981076193,1.6014287330120887,1.6198497497410334,1.6612859816550811,1.2682038192954563,1.707998921725466,1.922872972328695,12.448711057137192,12.913918716118582,10.390341265935163,9.476560799093631,10.337263909853696,9.8417523734897,10.695590438492417,10.369292575376482,12.78414392538947,10.235957135502053,10.414665037924003,8.135153916466757,9.781923387435373,8.851441273613727,10.153582525772551,8.83715219963022,9.191365683350007,8.895832334235939,9.005535893597015,9.72903962861328,9.11648120473961,10.330169526373725,8.497135955472503,9.446199040401147,8.129628648757782,8.42977989056016,6.951096328265818,7.0119249616729045,7.713916891742698,7.420397133362435,7.778787934768839,8.33350792597685,7.567104821846354,5.255269470050621,8.878477322664091,9.35631848946911,9.221447233588693,7.986175216613152,8.061665203901075,8.823383628936787,7.99952381582363,7.369150818389705,8.792384465098143,12.213954689975463,12.256350392334014,10.798750991070895,12.911455019448152,13.556576892441845,11.411799513638341,13.327137201462373,9.44098589760686,13.13891106746157,11.964899953263332,12.1598875217694,11.870090007349598,10.184424772915062,11.78893302031258,13.791644185924959,7.167161253931931,6.892944978970662,4.503742916607549,6.036285398325423,8.153182678457117,4.607135877451643,9.665308453434697,8.192385704840532,5.908245340765423,7.183091802161889,5.691171050384438,8.041456187703453,6.40671963100052,7.095792275413776,4.869846466258038,6.430969342597813,4.800491552233195,4.210696009649507,6.396180963234588,7.333295481431503,6.805490554985535,6.850307996989805,6.5391924261566,7.454075047544682,7.078822563465111,7.062161795443424,6.614593798663958,6.993941235306901
Calle 26 de Enero,0.4927892330633565,1.0724114004579275,1.6352371301181832,1.8605347991983516,0.8998666828725216,1.4186874057444185,1.4902491784134202,2.0204274458346743,1.4644490087400133,1.2457679161692454,0.6518896271193565,0.0,0.7405860183910771,0.7026015598290973,0.7385359710994654,1.5389888781728387,1.1422670376577906,1.0386252965472775,0.8190339145917807,1.429981384944379,2.1538802984742107,13.087686836430244,13.554857881368275,11.041272895174094,10.124759196952542,10.983215278447835,10.493590123632776,11.346596761647708,11.019645442115488,13.423245071049626,10.88119201035273,11.065308742736757,8.689549689760563,10.247147813242169,9.308794285749627,10.657285898038165,9.249942062631396,9.623664360314418,9.38202808322622,9.498190882891393,10.171234343047944,9.64175870543324,10.807384389261118,9.073603560603583,9.90496901912204,8.682237478113256,8.981913033208325,6.475307524602374,6.5102518606667505,7.088465578985106,6.978719034552532,7.374383522765038,7.712844146121884,7.043135420665606,4.808546832145594,8.280324207373813,8.947905385272675,8.725701029668462,7.37984324124107,7.573646788280915,8.462568453514436,7.657570154265126,6.95892455849462,9.076605942722553,12.390916754112572,12.424295146590973,11.034874919894227,13.124776219571872,13.758111041698644,11.637957044881766,13.523896853314952,9.746562236729073,13.341535713600443,12.148973820787115,12.392288690932356,12.056522714966114,10.385697591140032,11.96674371833209,14.022140228253193,7.020323713748273,6.7550028610700155,4.511983553308307,6.0928800280138455,7.933819368563158,4.729310978247752,9.468654756911032,7.974233582832466,5.972627788330069,7.166325500746492,5.951241401820278,7.952921192957825,6.353044991559707,7.196677451210543,4.806724070763856,6.389682743560602,4.862696290331226,4.087681782565949,7.043362227627439,7.982780886427213,7.454850039424031,7.498529077209294,7.185582697609261,8.103164474613333,7.730543910218752,7.713965168692364,7.266448085222534,7.644170245511529
C. Diamante 303,1.2005625542895764,0.44447918868242153,0.9644647476161674,1.6827120362157448,0.6098267414093124,0.8742215369354069,1.4441670637782003,1.6231049676540206,0.8285006229705985,1.9292708614965384,1.1368180421463625,0.7405860183910771,0.0,0.8286811280174463,1.0207182250162805,2.2672372332653983,1.671752331260909,0.783313880705585,1.4252918904859821,0.6961809128600833,1.7521427787569976,13.47785884460569,13.934995172359358,11.271245515293305,10.321391682334982,11.157989031707451,10.752586588271235,11.577405442433353,11.239873511552819,13.812538164785092,11.050717276772925,11.290078863318438,8.575196858592786,9.970266826214635,9.024309548187983,10.439790289205572,8.904596383233882,9.302509615944054,9.141084266116996,9.267092494308512,9.86146408704257,9.466155623759178,10.546635355559147,9.00600942661088,9.619929227234403,8.564228973940422,8.861380342701402,5.816547446257165,5.8751069336913995,6.67578886915714,6.295129629040594,6.670070984255213,7.282278425358773,6.432036039416342,4.126797729754024,7.788137836276769,8.246296681623313,8.08492138060905,6.908874719033957,6.925673419820461,7.741198906328443,6.930176750902749,6.257249304297125,8.588648973999682,11.803768393838297,11.830567221093522,10.497214518601782,12.564210176166362,13.187350172591362,11.090561675044414,12.949804079840764,9.277001973134992,12.77222562926462,11.567491823022591,11.848575084308123,11.47696981014445,9.821134640566598,11.380944318488865,13.474142585305087,6.289584385984628,6.026444066134367,3.8481976757526413,5.445584134634911,7.1936477534241225,4.136093397363832,8.729654415314286,7.2341100701206695,5.330602507888974,6.477422802401298,5.459899511453609,7.235876890124537,5.65107702730716,6.571230251710856,4.10685800272419,5.692540150961326,4.227372395581673,3.369733020444651,7.242578459508619,8.311636996540424,7.673397474593552,7.704842244913833,7.377492129647691,8.435901379225088,8.020343757902973,7.978681640648513,7.536818997887894,7.872973909131513
